x1,y1,x2,y2
11.0,97.0,309.0,97.0
302.0,97.0,302.0,218.0
11.0,97.0,11.0,218.0
10.0,217.0,308.0,217.0
104.0,146.426,154.0,96.4264
153.2,210.0,47.2,104.0
104.0,146.5,76.0,118.5
20.0,132.0,48.0,104.0
153.0,210.0,182.0,181.0
83.0,125.071,90.0711,118.0
27.0,125.0,34.0711,132.071
97.5736,167.5,46.5736,218.5
97.5,167.5,125.5,195.5
118.071,188.0,111.0,195.071
167.0,181.0,174.071,188.071
217.0,146.0,267.0,96.0
266.2,209.574,160.2,103.574
217.0,146.074,189.0,118.074
133.0,131.574,161.0,103.574
266.0,209.574,295.0,180.574
196.0,124.645,203.071,117.574
140.0,124.574,147.071,131.645
210.574,167.074,159.574,218.074
210.5,167.074,238.5,195.074
231.071,187.574,224.0,194.645
280.0,180.574,287.071,187.645
